StatementID,MySQL/INSERT,MySQL/UPDATE,MSSQL/INSERT,MSSQL/UPDATE,PostgreSQL/INSERT,PostgreSQL/UPDATE
36,1.429796219,0,1.247406006,1.061916351,0,1.056671143
37,0.347137451,1.010894775,2.087116241,1.074552536,0,1.028060913
38,1.052379608,0.546693802,2.684831619,0.512838364,0,1.019477844
39,2.048254013,1.008033752,2.015352249,1.01184845,1.059055328,0.526189804
40,2.008914948,1.181602478,0.977754593,1.082897186,0.521421432,1.475572586
41,1.004457474,11.69228554,1.235485077,0,0,0
42,1.068353653,1.074552536,1.324892044,1.403570175,0.542163849,1.073122025
43,2.009391785,1.323699951,2.617120743,1.452922821,0,1.056432724
44,0,0,2.018928528,0.514507294,0,1.063585281
45,1.019954681,2.049922943,1.868963242,1.677036285,1.051187515,0.566005707
46,0,1.611232758,2.076387405,0.513792038,0,0.596761703
47,1.014471054,1.056909561,2.018213272,0,1.130104065,0.532150269
48,1.019716263,1.079797745,2.017021179,1.735210419,0.39434433,1.077413559
49,1.029968262,0,2.207994461,0.524282455,0,0.530481339
50,1.01184845,0.508069992,2.07734108,0.527858734,0,1.05714798
51,1.01184845,2.017974854,0,1.528501511,0.502586365,1.075744629
52,1.027107239,1.513004303,22.76158333,0.517845154,0,1.017332077
53,0,1.007556915,1.020431519,0,0,0.533342361
54,2.024650574,0.506877899,2.348184586,1.041412354,1.063346863,1.049995422
55,1.053094864,18.75090599,2.015590668,1.013278961,0,1.057863235
56,0.555753708,2.03037262,2.007722855,1.054048538,0,0.515460968
57,1.061201096,2.015113831,1.01852417,1.071453094,0.502824783,1.081705093
58,1.027107239,1.575231552,2.010583878,0.701665878,0.502824783,0
59,1.01184845,1.062631607,1.017332077,1.264810562,0,1.038789749
60,2.013444901,1.071214676,1.929044724,0.701904297,0,1.012086868
61,0,0,1.973867416,0,0,1.02353096
62,1.009941101,1.061439514,2.034187317,0,0.625610352,1.071691513
63,1.058340073,0,0.410318375,1.235723495,0,1.056671143
64,1.005411148,0,2.269744873,1.01017952,1.038074493,1.051902771
65,1.059770584,0.514745712,2.058506012,1.073598862,0,0
66,0,1.058101654,2.03704834,1.422643661,1.013755798,1.05714798
